Feature,human,gpt
n_dependency_advcl,-0.5074027438558153,0.5074027438558153
compressibility,0.43811241236126286,-0.43811241236126286
n_DET_Number_Plur,-0.40788909115352934,0.40788909115352934
n_PUNCT_PunctType_Comm,-0.4063966506841005,0.4063966506841005
n_VERB_Aspect_Prog,-0.40554364822442995,0.40554364822442995
n_PRON_Gender_Neut,-0.4038941397072656,0.4038941397072656
n_high_intensity_anticipation,-0.3984536012487688,0.3984536012487688
n_hedges,-0.3798640369916954,0.3798640369916954
mtld,-0.3586847949029314,0.3586847949029314
pos_variability,0.35180130218608496,-0.35180130218608496
n_PRON_PronType_Ind,-0.33777149868095957,0.33777149868095957
n_high_aoa,-0.33740504768656915,0.33740504768656915
avg_iconicity,-0.3322074235435769,0.3322074235435769
avg_sd_Head_sensorimotor,0.323252427748396,-0.323252427748396
avg_arousal,-0.32123350390716066,0.32123350390716066
n_dependency_relcl,-0.31224262294930805,0.31224262294930805
n_low_iconicity,0.2928352507522639,-0.2928352507522639
avg_Visual_sensorimotor,0.2926028705049334,-0.2926028705049334
n_ADV_Degree_Pos,0.28425168981469345,-0.28425168981469345
n_high_intensity_disgust,0.2779417418815127,-0.2779417418815127
avg_sd_aoa,-0.27279252207437676,0.27279252207437676
n_characters,-0.27043019682563396,0.27043019682563396
avg_Interoceptive_sensorimotor,-0.2688455501857224,0.2688455501857224
avg_sd_Interoceptive_sensorimotor,-0.2668652944869491,0.2668652944869491
n_dependency_conj,0.2666076416321798,-0.2666076416321798
avg_sd_Olfactory_sensorimotor,0.25915340164645567,-0.25915340164645567
n_low_prevalence,0.2570350317611007,-0.2570350317611007
raw_sequence_length,-0.25649939645042424,0.25649939645042424
avg_sd_Auditory_sensorimotor,0.25116131802762565,-0.25116131802762565
avg_aoa,-0.2506294902419157,0.2506294902419157
simpsons_d,-0.24815413509117745,0.24815413509117745
n_dependency_dative,0.24787095759016,-0.24787095759016
n_high_iconicity,-0.24261067050173674,0.24261067050173674
tokens_per_sentence,0.24244570746865884,-0.24244570746865884
n_dependency_auxpass,0.23837424085303277,-0.23837424085303277
mattr,-0.23802373354134346,0.23802373354134346
n_low_intensity_joy,-0.23761353845953634,0.23761353845953634
n_norp,0.2340853688780418,-0.2340853688780418
n_dependency_appos,-0.23305157716935165,0.23305157716935165
n_VERB_Tense_Pres,-0.2318310116076626,0.2318310116076626
n_PRON_PronType_Rel,-0.2308002384179149,0.2308002384179149
n_tokens,-0.22777735753880599,0.22777735753880599
hdd,0.22703531361266258,-0.22703531361266258
n_dependency_aux,0.2264149131196485,-0.2264149131196485
n_low_Visual_sensorimotor,-0.22509491720858432,0.22509491720858432
n_dependency_pcomp,-0.22325842948591199,0.22325842948591199
avg_prevalence,0.21129204981174285,-0.21129204981174285
n_long_words,-0.21055489710630534,0.21055489710630534
n_adv,-0.20827957972825506,0.20827957972825506
n_high_Gustatory_sensorimotor,-0.20307326141862914,0.20307326141862914
n_intj,0.20129155122837486,-0.20129155122837486
n_VERB_VerbForm_Part,-0.20067624151295485,0.20067624151295485
n_high_valence,-0.20018749475187556,0.20018749475187556
n_dependency_advmod,-0.19957089192555272,0.19957089192555272
n_high_arousal,-0.19941054306918968,0.19941054306918968
avg_socialness,0.19817237597303763,-0.19817237597303763
avg_intensity_sadness,0.1973110288579051,-0.1973110288579051
n_aux,0.19647493983193798,-0.19647493983193798
n_PRON_Gender_Fem,0.1961756271660095,-0.1961756271660095
n_high_intensity_trust,-0.19558487901404933,0.19558487901404933
avg_concreteness,0.19162723893681044,-0.19162723893681044
n_VERB_Aspect_Perf,0.18990209717014112,-0.18990209717014112
n_positive_sentiment,-0.18877190306353764,0.18877190306353764
n_dependency_acl,-0.18676941574788514,0.18676941574788514
n_dependency_nsubjpass,0.183226771052791,-0.183226771052791
